Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status,Visitor Goalie,Home Goalie,O/U,Over,Under,Away ML,Home ML,Home PL Spread,PL Away,PL Home
2024-11-02,,4:00 PM,Chicago Blackhawks,4,Los Angeles Kings,3,Regulation,,,6,-122,105,,,,,
2024-11-02,,8:00 PM,Colorado Avalanche,2,Nashville Predators,5,Regulation,,,6.5,-109,-110,,,,,
2024-11-02,,7:00 PM,Seattle Kraken,0,Ottawa Senators,3,Regulation,,,6.5,110,-128,,,,,
2024-11-02,,1:00 PM,Boston Bruins,3,Philadelphia Flyers,0,Regulation,,,6,-103,-116,,,,,
2024-11-02,,7:00 PM,Montreal Canadiens,1,Pittsburgh Penguins,3,Regulation,,,6.5,-127,108,,,,,
2024-11-02,,10:00 PM,Vancouver Canucks,3,San Jose Sharks,2,Regulation,,,6.5,-108,-112,,,,,
2024-11-02,,7:00 PM,Toronto Maple Leafs,2,St. Louis Blues,4,Regulation,,,6,-118,-100,,,,,
2024-11-02,,10:00 PM,Utah Hockey Club,3,Vegas Golden Knights,4,Regulation,,,6.5,-102,-116,,,,,
2024-11-02,,5:00 PM,Columbus Blue Jackets,2,Washington Capitals,7,Regulation,,,6.5,-104,-115,,,,,
2024-11-03,,8:00 PM,Chicago Blackhawks,4,Anaheim Ducks,2,Regulation,,,6.5,-115,-105,,,,,
2024-11-03,,5:00 PM,Seattle Kraken,0,Boston Bruins,2,Regulation,,,6,-101,-118,,,,,
2024-11-03,,5:00 PM,Washington Capitals,2,Carolina Hurricanes,4,Regulation,,,6,-115,-105,,,,,
2024-11-03,,8:00 PM,Edmonton Oilers,4,Calgary Flames,2,Regulation,,,6.5,-115,-105,,,,,
2024-11-03,,6:00 PM,Toronto Maple Leafs,1,Minnesota Wild,2,Regulation,,,6,-120,-100,,,,,
2024-11-03,,1:00 PM,New York Islanders,2,New York Rangers,5,Regulation,,,6,102,-120,,,,,
2024-11-03,,3:00 PM,Tampa Bay Lightning,4,Winnipeg Jets,7,Regulation,,,6.5,101,-119,,,,,
2024-11-04,,8:30 PM,New Jersey Devils,3,Edmonton Oilers,0,Regulation,,,6.5,-130,113,,,,,
2024-11-04,,8:00 PM,Los Angeles Kings,3,Nashville Predators,0,Regulation,,,6,-104,-114,,,,,
2024-11-05,,10:00 PM,Vancouver Canucks,5,Anaheim Ducks,1,Regulation,,,6,-118,-101,,,,,
2024-11-05,,7:00 PM,Ottawa Senators,1,Buffalo Sabres,5,Regulation,,,6,-115,-103,,,,,
2024-11-05,,7:00 PM,Philadelphia Flyers,4,Carolina Hurricanes,6,Regulation,,,6,-125,107,,,,,
2024-11-05,,9:00 PM,Seattle Kraken,3,Colorado Avalanche,6,Regulation,,,6.5,101,-119,,,,,
2024-11-05,,8:00 PM,Los Angeles Kings,5,Minnesota Wild,1,Regulation,,,6,-105,-115,,,,,
