Date,Away_Abbr,Home_Abbr,Away_G,Home_G,Total,Eligible,Line,P_Over,P_Under,Lean,Edge_Over,Edge_Under,Actual_Result,Graded,Hit,Profit
2025-11-09,CHI,DET,5,1,6,True,6.0,0.5428,0.4572,Toss-up,1.90,-6.66,Push,False,False,
2025-11-09,CGY,MIN,0,2,2,True,6.5,0.3948,0.6052,Under,-10.52,5.97,Under,True,True,83.33
2025-11-09,UTA,OTT,2,4,6,True,6.0,0.6725,0.3275,Over,16.03,-20.74,Push,False,False,
2025-11-09,LAK,PIT,3,2,5,True,6.0,0.5760,0.4240,Toss-up,4.11,-8.82,Under,False,False,
2025-11-09,CAR,TOR,5,4,9,True,6.5,0.5405,0.4595,Toss-up,0.56,-5.27,Over,False,False,
2025-11-09,COL,VAN,5,4,9,True,6.5,0.4709,0.5291,Toss-up,-6.39,1.69,Over,False,False,
2025-11-10,CBJ,EDM,4,5,9,True,6.5,0.4759,0.5241,Toss-up,-4.79,0.02,Over,False,False,
2025-11-10,NYI,NJD,3,2,5,True,6.0,0.6248,0.3752,Over,8.99,-13.70,Under,True,False,-100.00
2025-11-10,NSH,NYR,3,6,9,True,5.5,0.4654,0.5346,Toss-up,-6.95,2.24,Over,False,False,
2025-11-10,FLA,VGK,3,2,5,True,5.5,0.5572,0.4428,Toss-up,2.24,-6.94,Under,False,False,
2025-11-11,TOR,BOS,3,5,8,True,6.5,0.5652,0.4348,Toss-up,6.52,-11.07,Over,False,False,
2025-11-11,WSH,CAR,4,1,5,True,6.0,0.5691,0.4309,Toss-up,4.53,-9.29,Under,False,False,
2025-11-11,ANA,COL,1,4,5,True,6.5,0.5500,0.4500,Toss-up,-3.33,-0.46,Under,False,False,
2025-11-11,SJS,MIN,2,1,3,True,6.5,0.4503,0.5497,Toss-up,-6.19,1.48,Under,False,False,
2025-11-11,LAK,MTL,5,1,6,True,5.5,0.6241,0.3759,Over,7.86,-12.41,Over,True,True,83.33
2025-11-11,DAL,OTT,3,2,5,True,5.5,0.6468,0.3532,Over,12.30,-17.06,Under,True,False,-100.00
2025-11-11,CBJ,SEA,2,1,3,True,6.5,0.4021,0.5979,Under,-9.79,5.25,Under,True,True,83.33
2025-11-11,CGY,STL,2,3,5,True,5.5,0.5282,0.4718,Toss-up,-0.67,-4.04,Under,False,False,
2025-11-11,WPG,VAN,5,3,8,True,6.0,0.5666,0.4334,Toss-up,5.44,-10.15,Over,False,False,
2025-11-12,NJD,CHI,4,3,7,True,6.0,0.5565,0.4435,Toss-up,3.27,-8.03,Over,False,False,
2025-11-12,EDM,PHI,2,1,3,True,5.5,0.5805,0.4195,Over,4.56,-9.27,Under,True,False,-100.00
2025-11-12,NYR,TBL,7,3,10,True,5.5,0.4648,0.5352,Toss-up,-8.07,3.52,Over,False,False,
2025-11-12,BUF,UTA,2,5,7,True,6.5,0.4330,0.5670,Toss-up,-7.92,3.21,Over,False,False,
2025-11-13,EDM,CBJ,4,5,9,True,6.5,0.4627,0.5373,Toss-up,-7.22,2.51,Over,False,False,
2025-11-13,SJS,CGY,0,2,2,True,6.0,0.5073,0.4927,Toss-up,-1.65,-3.11,Under,False,False,
2025-11-13,BUF,COL,3,6,9,True,6.5,0.4674,0.5326,Toss-up,-8.81,4.48,Over,False,False,
2025-11-13,ANA,DET,3,6,9,True,6.5,0.4804,0.5196,Toss-up,-5.45,0.74,Over,False,False,
2025-11-13,WSH,FLA,3,6,9,True,5.5,0.4914,0.5086,Toss-up,-0.86,-3.69,Over,False,False,
2025-11-13,DAL,MTL,7,0,7,True,5.5,0.6338,0.3662,Over,7.82,-12.16,Over,True,True,80.00
2025-11-13,BOS,OTT,3,5,8,True,6.0,0.6778,0.3222,Over,17.78,-22.33,Over,True,True,100.00
2025-11-13,WPG,SEA,3,5,8,True,5.5,0.4863,0.5137,Toss-up,-5.92,1.37,Over,False,False,
2025-11-13,LAK,TOR,4,3,7,True,6.0,0.6609,0.3391,Over,14.87,-19.57,Over,True,True,95.24
2025-11-13,NYI,VGK,4,3,7,True,6.5,0.4399,0.5601,Toss-up,-4.79,0.45,Over,False,False,
2025-11-14,VAN,CAR,3,4,7,True,6.5,0.4958,0.5042,Toss-up,-3.91,-0.80,Over,False,False,
